food_ID,recipe_title,tags,cuisine,course,diet,category
0,Roasted Peppers And Mushroom Tortilla Pizza ,Party Food s|Tea Party s|Mushroom s|Fusion s|Tortilla |Bell Peppers s,Mexican,Dinner,Vegetarian,Pizza s
1,Thakkali Gotsu  | Thakkali Curry | Spicy & Tangy Tomato Gravy,Vegetarian s|Tomato s|South Indian s|Breakfast  Ideas,South Indian s,Lunch,Vegetarian,Indian Curry s
2,Spicy Grilled Pineapple Salsa ,Party Starter & Appetizer s|Pineapple s|Salsa s,Mexican,Side Dish,Vegetarian,Mexican s
3,Karwar Style Dali Thoy  - Toor dal Curry,Side Dish s|South Indian s|Indian Lunch s|Indian Vegetarian s|Toor Dal s (Pigeon Pea),Coastal Karnataka,Side Dish,High Protein Vegetarian,Indian Curry s
4,Rajma Kofta In Milk And Poppy Seed Gravy ,Side Dish s|Indian Lunch s|Office Lunch Box s|Rajma Kidney Bean s|Poppy Seeds s,North Indian s,Side Dish,High Protein Vegetarian,Kofta s
5,Barnyard Millet Mushroom Biryani ,Vegetarian s|Indian Lunch s|Office Lunch Box s|Healthy s|Mushroom s|Millet s|Barnyard Millet (Sama) s,Indian,Lunch,Vegetarian,Biryani s
6,Mexican Green Sauce  ,Side Dish s|Party Starter & Appetizer s|Coriander s|Tahini s,Mexican,Side Dish,Vegetarian,"Homemade Jams, Sauce & Pesto s"
7,Karnataka Style Avarekalu Chitranna  (Field Beans Tossed With Lemon Rice),South Indian s|Indian Lunch s|Festival s|Ganesh Chaturthi s|Lemon s|Dussehra Festival s|Avarakkai s (Broad Bean),Karnataka,South Indian Breakfast,Vegetarian,Variety Rice (Mixed Rice/ Flavoured Rice s)
8,Schezwan Style Chinese Veg Samosa  - Roz Ka Khana with Figaro Olive Oil,Tea Party s|Party Starter & Appetizer s|Sooji s (Rava/ Semolina)|Cabbage s (Patta Gobi)|Samosa |Fusion s,North Indian s,Snack,Vegetarian,Indian Chinese s
9,Pineapple Upside Down Cake ,Party Food s|Tea Party s|Birthday Party Cakes|Pineapple s|Birthday Party s,Continental,Dessert,Vegetarian,Cake s
10,Matar Butter Masala ,Party Food s|Vegetarian s|Indian Lunch s|Office Lunch Box s|Green Peas (Matar/ Pattani) s|Weekend Lunch s,North Indian s,Lunch,Vegetarian,Sabzi s
11,Cheesy Rice Poppers ,Party Food s|Tea Party s|Cheese s|After School Snack s|Leftover recipes,Continental,Dinner,Vegetarian,Continental Party Appetizer & Starter s
12,Savory Shrimps On Skillet ,Side Dish s|Party Starter & Appetizer s|Shrimp s,Indian,Appetizer,Non Vegeterian,Fish s
13,Goan Sorak Curry ,Vegetarian s|Indian Lunch s|Goan s|Kokum s,Goan s,Dinner,Vegetarian,Indian Curry s
14,Toffee Banana  (Classic Chinese Dessert),Party Food s|Banana s|After School Snack s,Chinese,Dessert,Vegetarian,Indian Chinese s
15,Mango Tomato Bean Salsa ,Side Dish s|Tomato s|Healthy s|Party Starter & Appetizer s|Mango s|Green Beans s (French /Haricot)|Salsa s|Mother's Day  Contest 2016,Mexican,Appetizer,Vegetarian,Continental Party Appetizer & Starter s
16,Coorg Style Kumbala Curry  (Pumpkin Sabzi),South Indian s|Indian Lunch s|Pumpkin s (Kaddu / Poosanikai)|Coconut s,Coorg,Side Dish,Vegetarian,Indian Curry s
17,Kurkuri Bhindi And Onion Masala ,Indian Lunch s|Office Lunch Box s|Indian Dinner s|Onion s,North Indian s,Lunch,Vegetarian,Sabzi s
18,Kerala Cherupayar Curry  (Green Moong and Yellow Moong Dal ),High Protein Vegetarian Diet s|South Indian s|Indian Lunch s|Office Lunch Box s|Indian Vegetarian s|Kerala s|Indian Dinner s|Moong Dal s,Kerala s,Lunch,High Protein Vegetarian,Indian Curry s
19,Kela Matar ki Sabzi  - Raw Banana Green Peas Stir Fry,Indian Lunch s|Office Lunch Box s|No Onion No Garlic s|Indian Diabetic s|Indian Dinner s|Jain s|Raw Banana s|Green Peas (Matar/ Pattani) s|Ayurvedic s,North Indian s,Lunch,No Onion No Garlic (Sattvic),Sabzi s
20,Creamy Chicken Pesto Spaghetti Pasta ,Party Food s|Healthy s|Italian s|Weekend Dinner Ideas|Spaghetti s|Pesto s,Italian s,Dinner,High Protein Non Vegetarian,Pasta s
21,"Hyderabadi Bagare Tamatar (Spiced, Tossed Tomato Curry)",South Indian s,Hyderabadi,Lunch,Vegetarian,Indian Curry s
22,Eggplant Rolls ,Party Food s|Brinjal s (Eggplant / Baingan)|Italian s|Cheese s|Delmonte Italian  Contest  2016,Italian s,Main Course,Vegetarian,Continental Party Appetizer & Starter s
23,Beans And Carrot Masala Pulav With Black Eyed Beans ,Party Food s|Indian Lunch s|Office Lunch Box s|No Onion No Garlic s|One Dish s|Indian Dinner s|Quick & Easy s,Indian,Lunch,Vegetarian,Pulao s
24,Chettinad Kathirikai Chops  - Brinjal Curry for Biryani,Vegetarian s|South Indian s|Indian Lunch s|Indian Vegetarian s|Indian Dinner s|Brinjal s (Eggplant / Baingan)|Chettinad s,Chettinad,Main Course,Vegetarian,Indian Curry s
25,Kodava Pacche Baale Barthad- Raw Banana Stir Fry,Side Dish s|South Indian s|Raw Banana s,Coorg,Lunch,Diabetic Friendly,Poriyal s (South Indian Sabzi)
26,Lebanese Chickpea Falafel  - Healthy Non Fried ,Gluten Free s|Kabuli Chana s (Chickpea)|Middle Eastern s,Mediterranean,Main Course,High Protein Vegetarian,Continental Food s
27,Drumstick Leaves Ragi Roti  - Moringa Millet Flat Bread,High Protein Vegetarian Diet s|Gluten Free s|No Onion No Garlic s|Indian Diabetic s|Millet s|Ragi s (Nachni/ Finger Millet)|Mangalorean s|Moringa Leaves s (Drumstick Leaves),Karnataka,South Indian Breakfast,Diabetic Friendly,Roti s
28,Chettinad Pakora Curry ,Indian Lunch s|Chana Dal s (Bengal Gram Dal),Chettinad,Side Dish,Vegetarian,Indian Curry s
29,Eerulli Palya  - Vengaya Poriyal ,Vegetarian s|Side Dish s|Office Lunch Box s|Onion s,South Indian s,Side Dish,Vegetarian,Poriyal s (South Indian Sabzi)
30,Karwar NKGSB Style Bharli Vangi  - Brinjal Curry,Party Food s|Indian Lunch s|Aloo s (Potato & Baby Potato s)|Brinjal s (Eggplant / Baingan)|Konkani s,Karnataka,Lunch,Vegetarian,Indian Curry s
31,Cinnamon Welsh Cake  ,Tea Party s|Cinnamon s|After School Snack s,Continental,Snack,Eggetarian,Cake s
32,Polenta Pizza With Vegetables ,Tea Party s|Party Starter & Appetizer s|Fusion s|Cornmeal s,Italian s,Main Course,Vegetarian,Pizza s
33,Eggless Buttermilk Cinnamon Rolls ,Breakfast  Ideas|Tea Party s|Buttermilk s|Cinnamon s|Monsoon s,Continental,World Breakfast,Vegetarian,Continental Breakfast s
34,Vegetarian Sago Dumpling ,Party Food s|Tea Party s|Healthy Kids Snack s|Monsoon s|After School Snack s|Monsoon & Rainy Day s|Sabudana s (Tapioca/sago),Thai,Snack,Vegetarian,Indian Chinese s
35,Mooga Gathi (Sprouted Moong In Coconut Paste) ,Festival s|Sprout s|Moong Dal s|Coconut s,Goan s,Lunch,High Protein Vegetarian,Indian Curry s
36,Homemade Mole Sauce ,Tomato s|Chocolate s|Mexican s|Onion s|Sauce s,Mexican,Side Dish,Vegetarian,"Homemade Jams, Sauce & Pesto s"
37,Mexican Omelette  with Avocado Salsa ,Healthy s|Breakfast  Ideas|Mexican s|Avocado s,Mexican,World Breakfast,Eggetarian,Omelette s
38,Grilled Tofu Satay  With Peanut Dipping Sauce,High Protein Vegetarian Diet s|Party Starter & Appetizer s|Tofu s|Peanut s|Lettuce s,Asian,Appetizer,High Protein Vegetarian,Continental Party Appetizer & Starter s
39,Spicy Pressure Cooker Mutton Curry  ,Party Food s|Indian Lunch s|Weekend Lunch s,Indian,Dinner,Non Vegeterian,Mutton s
40,Mysore Style Avarekalu Rasam  ,Vegetarian s|Side Dish s|South Indian s|Indian Lunch s|Avarakkai s (Broad Bean),Karnataka,Lunch,Vegetarian,Rasam s
41,Roasted Peppers & Cheese Crostini ,Party Food s|Capsicum s (Bell Pepper)|Italian s|Cheese s|After School Snack s,Italian s,Appetizer,Vegetarian,Continental Party Appetizer & Starter s
42,Goan Kaju Curry  (Spicy Goan Cashew Nut Curry),Indian Vegetarian s|Cashewnut s,Goan s,Lunch,Vegetarian,Indian Curry s
43,Chettinad Style Kara Kuzhambu  with Potato and Brinjal,South Indian s|Aloo s (Potato & Baby Potato s)|Festival s|Brinjal s (Eggplant / Baingan)|Chettinad s,South Indian s,Lunch,Vegetarian,Indian Curry s
44,Karnataka Style Huggi (Rice and Moong dal Savory Porridge),Vegetarian s|South Indian s|Indian Lunch s|Moong Dal s|Karnataka s|Weekend Lunch s,Karnataka,Lunch,Vegetarian,Variety Rice (Mixed Rice/ Flavoured Rice s)
45,Udupi Style Ash Gourd Coconut Curry  ,South Indian s|Indian Lunch s|Indian Vegetarian s|Weekend Lunch s|Ash Gourd s,Udupi,Lunch,Vegetarian,Indian Curry s
46,Methi Bajra Poori ,Indian Lunch s|Methi s (Fenugreek)|Millet s|Bajra s,Indian,Lunch,Vegetarian,Puri s
47,Moongphali Bhindi Sabzi  - Lady's Finger Peanut Stir Fry,Indian Lunch s|Office Lunch Box s|Indian Dinner s|Moong Dal s|Bachelor s|Peanut s|Bhindi s (Vendakkai /Okra /Ladies Finger),North Indian s,Lunch,Vegetarian,Sabzi s
48,Nargisi Kofta Curry  - Spicy Scotched Egg Curry,Party Food s|Indian Lunch s|Dahi s (Curd/Yogurt)|Indian Dinner s,Mughlai,Lunch,Eggetarian,Egg s
49,Asian Style Tofu in Spicy Orange Sauce ,Vegetarian s|Side Dish s|Healthy s|Tea Party s|Tofu s|Orange s,Asian,Dinner,High Protein Vegetarian,Indian Chinese s
51,Hesarukalu Bele Kosambari  | Tangy Sprouted Green Moong Dal Salad,High Protein Vegetarian Diet s|South Indian s|Indian Lunch s|Festival s|Indian Diabetic s|Sprout s|Moong Dal s,South Indian s,Side Dish,Diabetic Friendly,Indian Salad s
52,Bendakaya Pulusu  - Andhra Style Tangy Ladies Finger Curry,Vegetarian s|Indian Lunch s|Indian Vegetarian s|Tamarind Curry s|Bhindi s (Vendakkai /Okra /Ladies Finger)|Telugu Cuisine s (Andhra & Telangana)|Weekend Lunch s|Pulusu s,Andhra,Lunch,Vegetarian,Kuzhambu s
53,Peerkangai Thogayal  | Ridge Gourd Peel Chutney | Beerakaya Pachadi,Indian Lunch s|Healthy s|Ridge Gourd s (Turai/ Peerkangai),South Indian s,Side Dish,Vegetarian,Indian Chutney s
54,Goan Style Mushroom Vindaloo ,Vegetarian s|Indian Lunch s|Indian Vegetarian s|Mushroom s|Goan s|Vindaloo ,Goan s,Dinner,Vegetarian,Indian Curry s
55,Dhaba Style Dal Fry  | Mixed Dal Tadka,Side Dish s|Chana Dal s (Bengal Gram Dal),North Indian s,Lunch,Vegetarian,Dal s
56,Goan Mushroom Xacuti ,Mushroom s,Goan s,Lunch,Vegetarian,Indian Curry s
57,Eggless Whole Wheat Plum Cake  | Christmas Plum Cake,Festival s|Kerala s|Christmas s,Continental,Dessert,Eggetarian,Cake s
58,"Pita Topped With Oven Roasted Cauliflower, Basil Avocado Sauce ",Party Food s|Indian Lunch s|Cauliflower s (Phool Gobi)|Avocado s|Basil s|Pita s|Oven Roasted s|Continental s,Fusion,Lunch,Vegetarian,Continental Food s
59,Crunchy Creamy Coleslaw ,Vegetarian s|Healthy s|Party Starter & Appetizer s|Cabbage s (Patta Gobi)|Coleslaw s,Continental,Side Dish,Vegetarian,Salad s
60,Chamadumpa Vepudu  - Andhra Style Colocasia Stir Fry | Arbi Sabzi,Side Dish s|Indian Lunch s|Office Lunch Box s|Indian Dinner s|Quick & Easy s|Stir Fried s|Arbi Colocasia s|Telugu Cuisine s (Andhra & Telangana),Andhra,Lunch,Vegetarian,Poriyal s (South Indian Sabzi)
61,Mangalore Cucumber Chana Dal Subzi  ,Vegetarian s|Indian Lunch s|Office Lunch Box s|Indian Dinner s|Mango s|Chana Dal s (Bengal Gram Dal)|Mangalore Cucumber s,Mangalorean,Lunch,Vegetarian,Indian Curry s
62,Aloo Parwal Sabzi  - A Classic Bengali Dish,Indian Lunch s|Healthy s|Aloo s (Potato & Baby Potato s)|Bengali s|Parwal Potol (Pointed Gourd) s,Indian,Lunch,Vegetarian,Sabzi s
63,Chapor Ghonto  - Bengali Mix Vegetable With Lentils Patties,Indian Lunch s|Aloo s (Potato & Baby Potato s)|Indian Vegetarian s|Brinjal s (Eggplant / Baingan)|Bengali s|Pumpkin s (Kaddu / Poosanikai)|Ridge Gourd s (Turai/ Peerkangai),Bengali s,Lunch,Vegetarian,Sabzi s
64,Delicious Skillet Roasted Fondant Potatoes ,Vegetarian s|Healthy s|Aloo s (Potato & Baby Potato s)|Party Starter & Appetizer s|French Cuisine s|Monsoon & Rainy Day s|Fondant s,French,Appetizer,Vegetarian,Continental Party Appetizer & Starter s
65,Moroccan Chickpeas Stew  ,Party Food s|High Protein Vegetarian Diet s|Vegetarian s|Kabuli Chana s (Chickpea)|High Protein Diet|One Dish s|Weekend Dinner Ideas|Moroccan recipes,African,Dinner,High Protein Vegetarian,Continental Food s
66,Babru  (Himachali Black Gram Stuffed Bread),Tea Party s|Urad Dal s|Himachal s,Himachal,Snack,Vegetarian,Paratha s
67,Urulai Kizhangu Masiyal  (Potatoes in a Tangy lemon and Ginger Gravy),South Indian s|Indian Lunch s|Aloo s (Potato & Baby Potato s)|Breakfast  Ideas|Tamil Nadu recipes,Tamil Nadu,Side Dish,Vegan,Indian Curry s
68,Niramish Shobji Chapor Jhol - Bengali Style Vegetable Curry with Lentil Patties,High Protein Vegetarian Diet s|Indian Lunch s|Bengali s,Bengali s,Lunch,High Protein Vegetarian,Sabzi s
69,Arabian Chicken Mandi  -Yemeni Style Rice & Chicken,Party Food s|One Dish s|Middle Eastern s,Middle Eastern,Lunch,Non Vegeterian,Variety Rice (Mixed Rice/ Flavoured Rice s)
70,Moong Dal Ghughra  (Gujiya/ Karanji),Gujarati s|Diwali s|Festival s|Party Starter & Appetizer s|Holi s|Moong Dal s|Gujiya & Karanji s,North Indian s,Snack,Vegetarian,Indian Snack s
71,Hyderabadi Khadi Masoor Dal  - Hyderabadi Style Lentil Curry,Party Food s|Office Lunch Box s|Masoor Dal s,Hyderabadi,Lunch,High Protein Vegetarian,Indian Curry s
72,Vanilla Dutch Baby Pancake ,Breakfast  Ideas|Pancake s|Brunch s|Oven Baked ,Continental,World Breakfast,Vegetarian,Pancake s
73,Goan Moolyacho Ross  (Goan Radish Curry),Indian Lunch s|Mooli s (Radish/ Mullangi)|Indian Dinner s|Goan s,Goan s,Lunch,Vegetarian,Indian Curry s
74,Gujarati Dabeli  - Pav Buns With Spicy Mashed Potatoes,Party Food s|Gujarati s|Aloo s (Potato & Baby Potato s)|Tea Party s|Chaat Party s|Pomegranate s|Street food recipes,Gujarati s﻿,Snack,Vegetarian,Indian Snack s
75,Mixed Vegetable Handi ,Vegetarian s|Indian Lunch s|Cauliflower s (Phool Gobi)|Dahi s (Curd/Yogurt),North Indian s,Lunch,Vegetarian,Sabzi s
76,Stuffed Mushrooms With Spinach & Parmesan ,Spinach s (Palak/Keerai)|Mushroom s,Continental,Appetizer,Vegetarian,Continental Party Appetizer & Starter s
77,Chenai Kizhangu Masiyal-South Indian Style Yam Masiyal,Vegetarian s|Side Dish s|South Indian s|Tamil New Year s|Tamil Nadu recipes|Yam s (Suran/Senai/Ratalu),Tamil Nadu,Main Course,Vegetarian,Poriyal s (South Indian Sabzi)
78,Aam Panna Pani Puri  ,Tea Party s|Chaat Party s|Summer  Ideas|Mango s|Quick & Easy s|Raw Mango recipes,North Indian s,Appetizer,Vegetarian,Indian Snack s
79,Punjabi Bhindi Kadhi  - Roasted Okra In Yogurt Curry,Party Food s|Indian Lunch s|No Onion No Garlic s|Dahi s (Curd/Yogurt)|Indian Dinner s|Bhindi s (Vendakkai /Okra /Ladies Finger),Punjabi,Dinner,Vegetarian,Kadhi s
80,Tamil Nadu Style Potato Masiyal  (South Indian Style Aloo Masala),South Indian s|Office Lunch Box s|Aloo s (Potato & Baby Potato s)|Indian Dinner s|Tamil Nadu recipes|Chana Dal s (Bengal Gram Dal),Tamil Nadu,Lunch,Vegetarian,Indian Curry s
81,Goan Bimbla Uddamethi ,South Indian s|Indian Lunch s|Healthy s|Indian Vegetarian s|Coconut s|Goan s,Konkan,Lunch,Vegetarian,Indian Curry s
82,Papaya Parsley Salad with Cheese ,Healthy s|Bachelor s|Papaya s|Cheese s,European,Appetizer,Vegetarian,Salad s
83,Mangalorean Manoli Bheeja Upkari  - Ivy Gourd & Cashew Sabzi,Side Dish s|South Indian s|Indian Lunch s|Office Lunch Box s|Indian Dinner s|Mango s|Cashewnut s|Ivy Gourd recipe,Mangalorean,Side Dish,Vegetarian,Poriyal s (South Indian Sabzi)
84,Chilli Chicken Cheese Quesadilla  ,Party Food s|Party Starter & Appetizer s|Cheese s|Quesadilla s|Fusion s,Mexican,Appetizer,Non Vegeterian,Mexican s
85,Malwani Pumpkin And Raw Mango Curry ,South Indian s|Indian Lunch s|Summer  Ideas|Mango s|Pumpkin s (Kaddu / Poosanikai)|Raw Mango recipes,Malvani,Dinner,Vegetarian,Indian Curry s
86,Maharashtrian Kakdi Thalipeeth  - Spiced Cucumber Flat Bread,Office Lunch Box s|Breakfast  Ideas|Indian Diabetic s|Paratha s|Kids Lunch Box s|High Fiber s,Maharashtrian s,Indian Breakfast,Diabetic Friendly,Roti s
87,Eggless Chocolate Mug Cake  - Instant Microwave Cake,Vegetarian s|Chocolate s|Eggless Cake s (Egg Free Cake)|Quick & Easy s,Continental,Dessert,Vegetarian,Cake s
88,Vegan Kofta Curry ,Party Food s|Vegetarian s|Indian Lunch s|Healthy s|Indian Vegetarian s,North Indian s,Dinner,Vegan,Kofta s
89,Muttai Podimas  - Chettinad Egg Scramble ,Side Dish s|Healthy s|High Protein Diet|High Protein Breakfast|Chettinad s,South Indian s,Lunch,Eggetarian,Scrambled Egg 
90,Chilli Oil ,Vegetarian s|Asian Cuisine s|Asian Food,Asian,Side Dish,Vegetarian,"Thai s,Malaysian & East Asian s"
91,Bathua Raita  ,Vegetarian s|Side Dish s|Dahi s (Curd/Yogurt)|Green Leaf s,North Indian s,Side Dish,Diabetic Friendly,Indian Raita s
92,Szechwan Hakka Noodle Momo  ,Healthy s|Party Starter & Appetizer s|Asian Cuisine s|Chinese s|Dumpling s (Momo s),Indo Chinese,Appetizer,Vegetarian,Indian Chinese s
93,Khakhra Vegetable Pizza ,Vegetarian s|Tea Party s|Broccoli s|After School Snack s|Fusion s,Indian,Snack,Vegetarian,Pizza s
94,Chicken Manchurian Dry  ,Party Food s|Side Dish s|Party Starter & Appetizer s|High Protein Diet|Manchurian s|Stir Fried s|Chinese s,Chinese,Appetizer,High Protein Non Vegetarian,Indian Chinese s
95,Thai Pineapple Vegetarian Curry ,Party Food s|Capsicum s (Bell Pepper)|Cauliflower s (Phool Gobi)|Green Beans s (French /Haricot)|Pineapple s|Quick & Easy s,Thai,Side Dish,Vegetarian,"Thai s,Malaysian & East Asian s"
96, Beet Apple Salad  with Apple Cider Vinaigrette,Vegetarian s|Healthy s|Beetroot s|Apple s|Walnut s,Continental,Appetizer,Vegetarian,Salad s
97,Kerala Style Varutharacha Mutta Curry ,Party Food s|South Indian s|Indian Dinner s|Indian Potluck & Kitty Party s,Kerala s,Main Course,Eggetarian,Indian Non Veg s
98,Chicken Spinach Cheese Balls ,Spinach s (Palak/Keerai)|Party Starter & Appetizer s|Cheese s|Indian Potluck & Kitty Party s,Italian s,Appetizer,High Protein Non Vegetarian,Continental Party Appetizer & Starter s
99,Mexican Corn Salsa ,Vegetarian s|Side Dish s|Healthy s|Party Starter & Appetizer s|Kids Lunch Box s|Mexican s|Sweet Corn s,Mexican,Snack,Vegetarian,Salad s
100,Broccoli and Mushroom Stir Fry  ,Vegetarian s|Side Dish s|Healthy s|Broccoli s|Mushroom s|Stir Fried s,Continental,Dinner,Vegetarian,Continental Food s
101,Sorakkai Paruppu Kuzhambu  - Tamil Nadu Style Lauki Curry,Side Dish s|South Indian s|Indian Lunch s|Indian Dinner s|Bottle Gourd s (Lauki /Doodhi),Tamil Nadu,Main Course,Vegetarian,Kuzhambu s
102,Badam Elaichi Kulfi  ,Festival s|Holi s|Summer  Ideas|Almond s|Kulfi s|Indian Dessert s For Parties,North Indian s,Dessert,Vegetarian,Sweet s (Indian Mithai / Indian Dessert)
103,Harissa Roasted Carrot Pizza With Pomegranate Sauce & Greek Yogurt ,Carrot s|Pomegranate s|Harissa s,Mediterranean,Dinner,Vegetarian,Pizza s
104,Soya Methi Sabzi  | Made from Soya Chunks,Office Lunch Box s|Indian Vegetarian s|Indian Diabetic s|Methi s (Fenugreek)|Soya s,North Indian s,Main Course,Vegetarian,Sabzi s
105,Rajasthani Laal Maas -Mutton In Red Spicy Gravy,Party Food s|Dahi s (Curd/Yogurt)|Rajasthani s|Weekend Lunch s,Rajasthani,Dinner,Non Vegeterian,Mutton s
106,Moolangi Tovve  - Radish Curry,Indian Lunch s|Office Lunch Box s|No Onion No Garlic s|Mooli s (Radish/ Mullangi),South Indian s,Lunch,Vegetarian,Indian Curry s
107,Smoked Vegetarian Spanish Rice ,Party Food s|Vegetarian s|Healthy s|Sweet Corn s|Weekend Dinner Ideas,European,Main Course,Vegetarian,Continental Food s
108,Thai Style Curried Corn Fritters ,Healthy s|Party Starter & Appetizer s|Healthy Kids Snack s|Sweet Corn s|Quick & Easy s|Asian Cuisine s,Thai,Appetizer,Vegetarian,"Thai s,Malaysian & East Asian s"
109,Kathal Biryani - Raw Jackfruit Biryani Topped with Caramelised Onions,Party Food s|Indian Lunch s|Indian Vegetarian s|Dahi s (Curd/Yogurt)|One Dish s|Jackfruit s,Indian,Lunch,Vegetarian,Biryani s
110,Palak Tambuli  (Udupi Style Spinach Tambli),Vegetarian s|Side Dish s|Spinach s (Palak/Keerai)|No Onion No Garlic s|Dahi s (Curd/Yogurt),Karnataka,Lunch,High Protein Vegetarian,Indian Curry s
111,Mushroom Thoran -Kerala Style Mushroom Sabzi,Vegetarian s|Side Dish s|Office Lunch Box s|Mushroom s,Kerala s,Lunch,Vegetarian,Thoran s
112,Broccoli Egg Bhurji ,Office Lunch Box s|Breakfast  Ideas|Broccoli s|Bhurji s,Indian,World Breakfast,Eggetarian,Egg s
113,No Bake Eggless Mango Cheesecake ,Tea Party s|Summer  Ideas|Mango s|Eggless Cake s (Egg Free Cake)|Cheese Cake s|Birthday Party s,Continental,Dessert,Vegetarian,Dessert s
114,Karwar Style Valval  (Mixed Vegetables In Coconut Milk),Vegetarian s|South Indian s|Indian Lunch s|Coconut Milk s,Coastal Karnataka,Lunch,Vegetarian,Indian Curry s
115,No Churn Strawberry Ice Cream ,Party Food s|Vegetarian s|Summer  Ideas|Strawberry s|Quick & Easy s|Ice Cream s,Continental,Dessert,Vegetarian,Dessert s
116,Spicy Roasted Pumpkin Carrot Soup ,Carrot s|Roasting s|Pumpkin s (Kaddu / Poosanikai),Continental,Appetizer,Vegetarian,Soup s
117,Kerala Style Vendakka Pachadi  - Roasted Bhindi Coconut Raita,Healthy s|Kerala s|No Onion No Garlic s|Dahi s (Curd/Yogurt)|Coconut s|Bhindi s (Vendakkai /Okra /Ladies Finger),Kerala s,Lunch,Vegetarian,Pachadi s
118,Andhra Style Pindi Miriyam  ,Indian Lunch s|Aloo s (Potato & Baby Potato s)|Brinjal s (Eggplant / Baingan)|Raw Banana s|Toor Dal s (Pigeon Pea)|Telugu Cuisine s (Andhra & Telangana),Andhra,Side Dish,Vegetarian,Indian Curry s
119,Kerala Style Brinjal Curry  | Spicy Eggplant Curry in Coconut Milk,Vegetarian s|South Indian s|Indian Dinner s|Brinjal s (Eggplant / Baingan),Kerala s,Lunch,Vegetarian,Indian Curry s
120,Mini Bajra Uttapam  ,South Indian s|Healthy s|Indian Vegetarian s|South Indian Breakfast s|Millet s|Bajra s,South Indian s,South Indian Breakfast,Gluten Free,Uttapam s
121,Chenakayi Erissery  - Yam Erissery,Side Dish s|Indian Lunch s|Office Lunch Box s|Indian Dinner s|Yam s (Suran/Senai/Ratalu),Kerala s,Side Dish,Vegetarian,Erissery s
122,Chicken Yakitori  - Japanese Chicken Skewers ,Party Starter & Appetizer s|High Protein Diet|Weekend Dinner Ideas|Asian Cuisine s|Japanese Cuisine s,Japanese,Appetizer,Non Vegeterian,"Thai s,Malaysian & East Asian s"
123,Kadalai Puli Kuzhambu With Mangalore Cucumber & Drumstick ,South Indian s|Kabuli Chana s (Chickpea)|High Protein Diet|Mango s|Drumstick s|Kala Chana s (Black Chickpeas),South Indian s,Lunch,High Protein Vegetarian,Kuzhambu s
124, Tamil Nadu Style Poo Kosu Poriyal - Pepper Garlic Cauliflower Poriyal ,Office Lunch Box s|Cauliflower s (Phool Gobi)|Pepper s,South Indian s,Lunch,Vegetarian,Poriyal s (South Indian Sabzi)
125,Oriya Style Ambila  - Sweet & Spicy Mixed Vegetable Sabzi,Indian Lunch s|Mooli s (Radish/ Mullangi)|Dahi s (Curd/Yogurt)|Indian Dinner s|Brinjal s (Eggplant / Baingan)|Pumpkin s (Kaddu / Poosanikai)|Drumstick s|Oriya s|Besan s,Oriya s,Lunch,Vegetarian,Sabzi s
126,Kashmiri Style Nadru Yakhni -Lotus Stem in Yogurt Sauce,Vegetarian s|Side Dish s|Indian Lunch s|No Onion No Garlic s|Dahi s (Curd/Yogurt)|Kashmiri s|Weekend Dinner Ideas|Lotus Stem Kamal Kakdi s,Kashmiri,Lunch,Vegetarian,Sabzi s
127,Karnataka Style Orange Peels Curry ,South Indian s|Indian Lunch s|Orange s|Karnataka s,Karnataka,Lunch,Vegetarian,Indian Curry s
128,Banana Bread With Chocolate Chips And Walnut ,Chocolate s|Banana s|Walnut s,Continental,Snack,Eggetarian,Homemade Bread s
129,Pineapple Gojju  (Karnataka Style Tangy And Spicy Pineapple Curry),Side Dish s|South Indian s|Festival s|Coconut s|Pineapple s,North Karnataka,Lunch,Vegetarian,Gojju s
130,Bengali Cholar Dal ,Party Food s|Festival s|Chana Dal s (Bengal Gram Dal)|Dussehra Festival s,Bengali s,Lunch,High Protein Vegetarian,Dal s
131,Puran Poli  | Gujarati & Maharastrian | Sweet Spiced Stuffed Paratha With Jaggery,High Protein Vegetarian Diet s|Gujarati s|Festival s|Holi s|Paratha s|Ganesh Chaturthi s|Indian Dessert s For Parties,Gujarati s﻿,Dessert,Vegetarian,Sweet s (Indian Mithai / Indian Dessert)
132,Chicken Manchurian  Gravy | Indo Chinese ,Party Starter & Appetizer s|High Protein Diet|Manchurian s|Fusion s|Indo Chinese s (Indian Chinese),Indo Chinese,Appetizer,High Protein Non Vegetarian,Indian Chinese s
133,Creamy Cheese Mushroom Bruschetta ,Party Food s|Party Starter & Appetizer s|Mushroom s|Healthy Kids Snack s|Quick & Easy s|Cheese s|After School Snack s|Unexpected Guest s,Italian s,Appetizer,Vegetarian,Continental Party Appetizer & Starter s
134,Konkani Style Mooga Ghushi -Sprouted Whole Green Gram In Tangy Coconut Gravy,High Protein Vegetarian Diet s|South Indian s|Sprout s|Moong Dal s|Konkani s,Konkan,Lunch,Vegetarian,Indian Curry s
135,Chilli Cheese Paratha ,Breakfast  Ideas|Paratha s|Cheese s|s for Kids|Stuffed Paratha s,North Indian s,Dinner,Vegetarian,Paratha s
136,Honey Roasted Sweet Potato With Red Onions ,Christmas s|Sweet Potato s|Honey s,Continental,Side Dish,Vegetarian,Continental Party Appetizer & Starter s
