food_ID,recipe_title,tags,cuisine,course,diet,category
2889,Bhagar  - Maharashtrian Style Spicy Barnyard Millet Pulao,Vegetarian s|Healthy s|Aloo s (Potato & Baby Potato s)|Breakfast  Ideas|Gluten Free s|Maharashtrian s (Marathi s)|Millet s,Maharashtrian s,North Indian Breakfast,Vegetarian,Pulao s
2890,Mung Pani  - Whole Green Mung Soup,Moong Dal s|Summer  Ideas|Natural Home Remedy s,Indian,Appetizer,Vegetarian,Indian Drink s
2891,Homemade Chocolate Sauce ,Party Food s|Side Dish s|Chocolate s,Continental,Dessert,Vegetarian,Dessert s
2892,Iyengar Style Vendhaya Keerai Pulao  - Menthe Soppina Bath/ Methi Rice,South Indian s|Indian Lunch s|Office Lunch Box s|Healthy s|No Onion No Garlic s|Indian Dinner s|Methi s (Fenugreek)|Keerai s,South Indian s,Lunch,Vegetarian,Pulao s
2893,Awadhi Style Taheri  - Vegetable Rice Pulao ,Indian Lunch s|Office Lunch Box s|Aloo s (Potato & Baby Potato s)|Cauliflower s (Phool Gobi)|Carrot s|Dahi s (Curd/Yogurt)|Green Beans s (French /Haricot),Awadhi,Lunch,Vegetarian,Pulao s
2894,Pan Roasted Zucchini & Mushroom  ,Party Food s|Mushroom s|Zucchini s|Weekend Dinner Ideas|Quick & Easy s|Stir Fried s,Continental,Side Dish,Vegetarian,Continental Food s
2895,Kesar Malai Doodh ,Festival s|Winter s|Saffron s,North Indian s,Snack,Vegetarian,Indian Drink s
2896,Shahi Vegetable Pulao ,Party Food s|Vegetarian s|Indian Lunch s|Office Lunch Box s|Healthy s|Cauliflower s (Phool Gobi),Mughlai,Lunch,Vegetarian,Pulao s
2897,Mint Flavoured Mixed Vegetable Pulao ,Green Beans s (French /Haricot)|Pudina Mint s,Indian,Main Course,Vegetarian,Pulao s
2898,Bhopali Style Gosht Ka Pulao ,Dahi s (Curd/Yogurt)|Bhopal ,North Indian s,Lunch,Non Vegeterian,Pulao s
2899,Motiya Chilman Pulao  - Vegetable Rice Topped With Paneer Balls,Paneer s|Aloo s (Potato & Baby Potato s)|Cauliflower s (Phool Gobi),Awadhi,Lunch,Vegetarian,Pulao s
2900,Spinach Soft Shell Taco Stuffed with Cabbage Slaw Salad ,Party Food s|High Protein Vegetarian Diet s|Vegetarian s|Spinach s (Palak/Keerai),Mexican,Appetizer,Diabetic Friendly,Salad s
2901,Meethe Chawal  - Zarda Pulao,Party Food s|Karva Chauth s,Awadhi,Main Course,Vegetarian,Sweet s (Indian Mithai / Indian Dessert)
